"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
474,160.2,43,3182,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","GLQ",16,1129,1145,"GasA","Ex","Y",1145,0,1145,0,0,2,0,2,"Gd",5,1,"Attchd",2,397,"TA","TA",100,16,0,0
1630,168,0,7655,"CulDSac","2Story",6,5,1993,1994,"TA","TA","PConc","Gd","TA","Unf",0,903,903,"GasA","Gd","Y",910,732,1642,0,0,2,1,3,"TA",7,1,"Attchd",2,392,"TA","TA",290,84,0,0
1685,356,96,12469,"FR2","1Story",9,5,2006,2007,"Ex","TA","PConc","Ex","TA","GLQ",1151,639,1790,"GasA","Ex","Y",1816,0,1816,1,0,2,0,3,"Ex",7,1,"Attchd",3,730,"TA","TA",186,36,0,0
1558,81,120,18000,"Inside","1Story",3,4,1935,1950,"Fa","TA","CBlock","TA","TA","Unf",0,894,894,"GasA","TA","Y",894,0,894,0,0,1,0,2,"TA",6,0,"Detchd",3,1248,"TA","TA",0,20,0,0
2041,128.5,0,12358,"Inside","1.5Fin",5,6,1941,1950,"TA","TA","CBlock","TA","TA","Rec",360,360,720,"GasA","TA","Y",854,0,1382,0,0,1,1,2,"TA",7,0,"Detchd",2,660,"TA","TA",237,0,0,0
1958,119.2,60,11664,"Inside","1Story",6,5,1948,1950,"TA","TA","CBlock","TA","Fa","BLQ",336,746,1082,"GasA","TA","Y",1082,0,1082,0,0,1,0,2,"TA",5,1,"Detchd",1,240,"TA","TA",0,130,0,0
1088,190,59,9587,"Inside","SLvl",7,5,2005,2005,"Gd","TA","PConc","Gd","TA","GLQ",655,201,856,"GasA","Ex","Y",1166,0,1166,1,0,2,0,2,"Gd",5,0,"Attchd",2,400,"TA","TA",212,0,0,0
2090,228.5,104,23920,"Inside","1.5Fin",6,5,1984,1984,"TA","TA","CBlock","TA","TA","Unf",0,1105,1105,"GasA","Ex","Y",1105,717,1822,0,0,2,0,4,"Gd",7,1,"Attchd",2,515,"TA","TA",0,195,1012,0
178,130,50,5500,"Corner","1.5Fin",5,7,1929,2001,"TA","TA","BrkTil","TA","TA","LwQ",234,0,926,"GasA","TA","Y",926,0,1316,1,0,1,0,3,"TA",6,0,"Detchd",2,484,"TA","TA",0,0,0,0
2053,165,65,14149,"Inside","SLvl",5,8,1964,2001,"Gd","Gd","CBlock","TA","TA","LwQ",68,190,980,"GasA","TA","Y",1020,0,1020,0,1,2,0,3,"TA",5,1,"Detchd",2,528,"TA","TA",0,0,0,0
538,203,76,10141,"Inside","1Story",8,5,2004,2004,"Gd","TA","PConc","Gd","TA","BLQ",516,222,1512,"GasA","Ex","Y",1512,0,1512,0,0,2,0,3,"Gd",6,0,"Attchd",3,845,"TA","TA",210,36,0,0
2466,200.825,65,8125,"Inside","2Story",6,5,2005,2005,"Gd","TA","PConc","Gd","TA","Unf",0,858,858,"GasA","Ex","Y",858,858,1716,0,0,2,1,3,"Gd",7,0,"Attchd",2,615,"TA","TA",0,53,0,0
1210,174.9,82,9020,"Inside","SLvl",6,7,1966,1966,"TA","TA","CBlock","TA","TA","Rec",312,276,1127,"GasA","TA","Y",1165,0,1165,1,0,1,1,3,"TA",6,0,"Attchd",2,490,"Gd","Gd",0,129,0,0
2462,405.749,100,13162,"Corner","2Story",9,5,2006,2006,"Gd","TA","PConc","Ex","TA","GLQ",1836,200,2036,"GasA","Ex","Y",2036,604,2640,1,0,3,1,3,"Ex",11,1,"Attchd",3,792,"TA","TA",0,265,0,0
1907,144,80,9600,"Inside","1Story",5,6,1955,1955,"TA","Gd","CBlock","TA","TA","BLQ",368,710,1078,"GasA","Ex","Y",1150,0,1150,1,0,1,0,2,"TA",6,0,"Attchd",1,288,"TA","TA",0,0,0,175
1693,338.931,110,13440,"Inside","2Story",8,5,2006,2007,"Gd","TA","PConc","Ex","TA","Unf",0,1108,1108,"GasA","Ex","Y",1148,1402,2550,0,0,2,1,4,"Ex",11,1,"BuiltIn",3,670,"TA","TA",120,39,0,0
191,140.75,60,10560,"Inside","2Story",6,7,1922,1994,"TA","TA","CBlock","Fa","TA","Rec",283,455,738,"GasA","Ex","Y",868,602,1470,0,0,1,1,2,"TA",6,0,"Detchd",2,624,"TA","TA",0,0,0,0
1281,140,71,7056,"Inside","2Story",6,5,1963,1963,"TA","TA","CBlock","TA","TA","BLQ",400,380,780,"GasA","TA","Y",983,813,1796,1,0,1,1,4,"TA",8,1,"Attchd",2,483,"TA","TA",0,50,0,0
1458,230,73,9066,"Inside","2Story",8,5,1999,2000,"Gd","TA","PConc","Gd","TA","GLQ",668,336,1004,"GasA","Ex","Y",1004,848,1852,0,0,2,1,3,"Gd",7,2,"Attchd",3,660,"TA","TA",224,106,0,0
227,163,86,11227,"Inside","2Story",5,5,1968,1968,"TA","Gd","CBlock","TA","Gd","Rec",267,0,720,"GasA","Ex","Y",720,720,1440,0,0,1,1,4,"TA",7,2,"Attchd",2,480,"TA","TA",192,38,0,0
2792,214,45,9468,"CulDSac","2Story",6,5,1999,1999,"TA","TA","PConc","Gd","TA","GLQ",639,201,840,"GasA","Ex","Y",840,915,1755,1,0,2,1,3,"TA",7,1,"Attchd",2,530,"TA","TA",176,73,0,0
722,143,50,9000,"Inside","2Story",7,9,1920,1988,"TA","Gd","PConc","TA","TA","ALQ",624,26,650,"GasA","Ex","Y",832,650,1482,0,1,1,0,3,"TA",7,0,"Detchd",2,324,"TA","TA",0,0,0,0
498,340,0,16545,"Inside","2Story",8,5,1998,1998,"Gd","TA","PConc","Gd","TA","GLQ",781,503,1284,"GasA","Ex","Y",1310,1140,2450,1,0,2,1,3,"Gd",7,1,"Attchd",3,1069,"TA","TA",0,126,0,0
1341,115,60,5520,"FR2","1.5Fin",5,7,1920,1997,"TA","Gd","BrkTil","TA","TA","ALQ",68,497,565,"GasA","TA","Y",565,651,1216,1,0,1,0,3,"TA",6,1,"BuiltIn",1,355,"Fa","TA",0,0,180,0
1078,155,36,2448,"Inside","2Story",7,5,2003,2004,"Gd","TA","PConc","Gd","TA","Unf",0,764,764,"GasA","Ex","Y",764,862,1626,0,0,2,1,2,"Gd",6,0,"BuiltIn",2,474,"TA","TA",0,27,0,0
1238,136.5,74,8856,"Inside","1Story",5,4,1957,1957,"TA","TA","CBlock","TA","TA","ALQ",621,503,1176,"GasA","TA","Y",1176,0,1176,1,0,1,0,3,"TA",6,2,"Attchd",1,292,"TA","TA",0,88,0,95
1025,175,0,15611,"Corner","1Story",5,6,1977,1977,"TA","TA","PConc","Gd","TA","ALQ",767,266,1126,"GasA","TA","Y",1126,0,1126,0,1,2,0,3,"Ex",6,0,"Attchd",2,540,"TA","TA",180,0,0,0
507,244.6,74,9612,"Inside","1Story",8,5,2008,2009,"Gd","TA","PConc","Gd","TA","Unf",0,1468,1468,"GasA","Ex","Y",1468,0,1468,0,0,2,0,3,"Gd",6,1,"Attchd",3,898,"TA","TA",210,150,0,0
2628,119,75,8512,"Corner","1Story",5,5,1960,1960,"TA","TA","CBlock","TA","Fa","Unf",0,1556,1556,"GasA","TA","Y",1556,0,1556,0,0,2,0,4,"TA",8,0,"None",0,0,"None","None",0,0,0,0
402,130,60,9000,"FR2","1Story",4,7,1971,2006,"TA","Gd","CBlock","TA","TA","ALQ",240,624,864,"GasA","Gd","Y",864,0,864,0,0,1,0,3,"TA",5,0,"Detchd",2,576,"TA","TA",200,0,0,0
2015,132,52,6240,"Inside","1.5Fin",5,8,1939,1952,"TA","Gd","BrkTil","TA","TA","Rec",48,624,672,"GasA","Ex","Y",899,423,1322,1,0,1,0,4,"TA",7,0,"Detchd",1,280,"TA","TA",0,0,0,0
2697,84.5,60,6780,"Inside","1.5Fin",6,8,1935,1982,"TA","Fa","CBlock","TA","TA","GLQ",490,30,520,"GasA","Gd","N",520,0,754,1,0,1,0,2,"TA",5,0,"None",0,0,"None","None",53,0,0,0
2457,423,49,20896,"CulDSac","1Story",8,5,2005,2006,"Gd","TA","PConc","Ex","TA","GLQ",1721,356,2077,"GasA","Ex","Y",2097,0,2097,1,0,1,1,1,"Ex",8,1,"Attchd",3,1134,"TA","TA",192,267,0,0
1134,192.5,67,12774,"FR2","2Story",7,5,2003,2004,"Gd","TA","PConc","Gd","TA","Unf",0,835,835,"GasA","Ex","Y",835,828,1663,0,0,2,1,3,"Gd",8,0,"Attchd",2,478,"TA","TA",168,68,0,0
2322,274.725,168,23257,"CulDSac","2Story",7,5,2006,2006,"Gd","TA","PConc","Ex","Gd","Unf",0,868,868,"GasA","Ex","Y",887,1134,2021,0,0,2,1,3,"Gd",9,1,"BuiltIn",2,422,"TA","TA",0,100,0,0
1449,143.195,0,9216,"Inside","1Story",5,6,1975,1975,"TA","TA","CBlock","TA","TA","ALQ",294,782,1076,"GasA","TA","Y",1076,0,1076,0,0,1,1,3,"TA",5,1,"Detchd",2,576,"TA","TA",0,0,0,0
1879,119,0,10624,"Inside","1Story",5,4,1964,1964,"TA","TA","CBlock","TA","TA","GLQ",40,1424,1728,"GasA","TA","Y",1728,0,1728,0,1,2,0,6,"TA",10,0,"Detchd",1,352,"TA","TA",155,0,0,0
2382,252,110,16163,"Corner","1Story",8,5,2004,2004,"Gd","TA","PConc","Gd","TA","Unf",0,1618,1618,"GasA","Ex","Y",1618,0,1618,0,0,2,0,2,"Gd",6,1,"Attchd",3,880,"TA","TA",0,0,0,0
1246,116,60,11556,"Inside","1Story",5,6,1952,1952,"TA","TA","CBlock","TA","TA","Rec",148,572,720,"GasA","Ex","Y",882,0,882,1,0,1,0,2,"Gd",4,0,"Attchd",1,240,"TA","TA",0,0,0,0
2917,92,21,1533,"Inside","SFoyer",5,7,1970,1970,"TA","TA","CBlock","Gd","TA","GLQ",553,77,630,"GasA","Ex","Y",630,0,630,1,0,1,0,1,"Ex",3,0,"None",0,0,"None","None",0,0,0,0
1596,129.5,41,2665,"Inside","2Story",5,7,1976,1976,"TA","TA","PConc","Gd","TA","ALQ",318,232,550,"GasA","TA","Y",925,550,1475,0,0,2,0,4,"TA",6,1,"Attchd",1,336,"TA","TA",92,26,0,0
631,150,73,8760,"Inside","1Story",5,7,1956,1956,"Gd","TA","CBlock","TA","TA","ALQ",856,313,1169,"GasA","TA","Y",1144,0,1144,1,0,1,0,3,"TA",6,0,"Attchd",1,286,"TA","TA",257,0,0,0
896,120,70,11767,"Inside","1Story",5,5,1950,1950,"TA","TA","CBlock","Fa","TA","Rec",1078,0,1078,"GasA","TA","Y",1368,0,1368,1,0,1,0,3,"TA",6,0,"Attchd",1,195,"TA","TA",0,41,211,0
208,140,76,7630,"Inside","2Story",5,9,1900,1996,"TA","Gd","BrkTil","Gd","TA","Unf",0,360,360,"GasA","Gd","Y",1032,780,1812,0,0,2,0,4,"Gd",8,1,"Detchd",2,672,"TA","TA",344,0,40,0
633,176,0,12285,"Inside","1Story",7,6,1960,1960,"TA","TA","CBlock","TA","TA","BLQ",544,785,1329,"GasA","Gd","Y",1329,0,1329,0,0,1,1,3,"TA",5,2,"Attchd",2,441,"TA","TA",0,0,203,0
653,129.9,60,9600,"Inside","1Story",5,6,1950,1950,"TA","TA","CBlock","TA","TA","BLQ",390,810,1200,"GasA","TA","Y",1200,0,1200,0,0,1,0,3,"TA",6,0,"Attchd",1,246,"TA","TA",126,0,0,0
2852,149,69,4899,"Corner","2Story",6,8,1920,1950,"TA","TA","PConc","TA","TA","BLQ",305,450,755,"GasA","Ex","Y",755,755,1510,0,0,1,0,3,"TA",6,0,"Detchd",1,216,"TA","TA",0,0,164,0
1497,176,60,7024,"Inside","1Story",4,5,2005,2005,"TA","TA","PConc","Gd","TA","GLQ",1024,108,1132,"GasA","Ex","Y",1132,0,1132,1,0,1,1,2,"Gd",5,0,"Attchd",2,451,"TA","TA",252,64,0,0
2881,35.311,50,9000,"Inside","1Story",2,3,1949,1950,"TA","TA","CBlock","TA","TA","BLQ",50,430,480,"GasA","TA","N",480,0,480,1,0,0,0,1,"TA",4,0,"Detchd",1,308,"TA","TA",0,0,0,0
1802,227.875,84,10207,"Inside","2Story",7,6,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,874,874,"GasA","Ex","Y",874,887,1761,0,0,3,0,3,"Gd",7,0,"Attchd",2,578,"TA","TA",144,105,0,0
461,286.5,129,16770,"Corner","1Story",8,5,2002,2003,"Gd","TA","PConc","Ex","TA","GLQ",1196,516,1712,"GasA","Ex","Y",1712,0,1712,1,0,2,0,3,"Gd",8,1,"Attchd",3,701,"TA","TA",218,183,0,0
825,272.5,77,11422,"Inside","1Story",8,5,2007,2008,"Gd","TA","PConc","Ex","TA","GLQ",1359,479,1838,"GasA","Ex","Y",1838,0,1838,1,0,2,0,3,"Gd",7,2,"Attchd",2,524,"TA","TA",154,222,0,0
847,195,68,8935,"Inside","2Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","Unf",0,831,831,"GasA","Ex","Y",831,829,1660,0,0,2,1,3,"Gd",7,0,"Attchd",2,493,"TA","TA",144,68,0,0
2399,378,131,14828,"Corner","1Story",9,5,2004,2005,"Ex","TA","PConc","Ex","TA","GLQ",1383,397,1780,"GasA","Ex","Y",1780,0,1780,1,0,2,0,2,"Ex",7,1,"Attchd",3,816,"TA","TA",144,68,0,0
2550,150,69,8973,"Inside","1Story",5,7,1958,1991,"TA","TA","CBlock","TA","TA","Rec",567,413,1008,"GasA","TA","Y",1053,0,1053,0,1,1,1,3,"Ex",6,0,"2Types",2,750,"TA","TA",0,80,0,0
1041,100,21,1680,"Inside","2Story",6,5,1973,1973,"TA","TA","CBlock","TA","TA","BLQ",330,153,483,"GasA","TA","Y",483,504,987,1,0,1,1,2,"TA",5,0,"Detchd",1,264,"TA","TA",0,0,0,0
1348,129.9,51,6120,"Inside","1.5Fin",7,5,1931,1950,"TA","TA","BrkTil","TA","TA","Unf",0,952,952,"GasA","Gd","Y",1022,752,1774,0,0,2,0,2,"TA",8,2,"Detchd",2,468,"Fa","TA",90,0,205,0
1141,163,50,8480,"Inside","2Story",6,5,1993,1994,"Gd","TA","PConc","Gd","TA","GLQ",602,284,886,"GasA","Ex","Y",886,794,1680,0,1,2,1,3,"Gd",7,0,"Attchd",2,474,"TA","TA",144,96,0,0
901,103.5,70,11767,"Inside","1Story",5,5,1956,1956,"TA","TA","CBlock","TA","TA","Rec",546,604,1150,"GasA","Ex","Y",1560,0,1560,0,0,1,0,2,"TA",7,1,"Attchd",1,313,"TA","TA",0,0,0,0
1961,102,60,7200,"Inside","1Story",5,3,1950,1950,"TA","TA","CBlock","TA","TA","LwQ",432,432,864,"GasA","Fa","Y",1238,0,1238,0,0,1,1,3,"TA",6,1,"Attchd",1,357,"TA","TA",0,171,0,0
1384,120,0,9981,"Corner","1Story",5,5,1967,1967,"TA","TA","CBlock","TA","TA","BLQ",221,852,1073,"GasA","Gd","Y",1073,0,1073,0,0,1,0,3,"TA",6,0,"Attchd",1,270,"TA","TA",0,90,0,0
2880,51.689,69,12366,"Inside","1Story",3,5,1945,1950,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","N",729,0,729,0,0,1,0,2,"TA",5,0,"None",0,0,"None","None",0,0,23,0
544,220,43,11492,"CulDSac","2Story",7,5,1996,1997,"Gd","TA","PConc","Gd","TA","GLQ",637,276,913,"GasA","Ex","Y",913,1209,2122,1,0,2,1,4,"Gd",8,1,"Attchd",2,559,"TA","TA",0,74,0,0
